hcpcs,single_dose,effective_note,source
J1932,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1940,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1943,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1953,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1954,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1956,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2001,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2175,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2182,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2185,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2186,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2212,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2248,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2270,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2272,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2274,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2278,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2305,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2323,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2327,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2329,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2353,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2356,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2357,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2358,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2359,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2360,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2371,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2372,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2403,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2406,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2425,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2426,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2430,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2506,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2507,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2560,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2562,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2704,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2720,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2765,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2777,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J2778,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
