generic_name,company_name,therapeutic_category,dosage_form,status,availability,package_ndc,initial_posting_date,update_date,update_type,source_id
Lincomycin Hydrochloride Injection,"XGen Pharmaceuticals DJB, Inc.",Anti-Infective,Injection,To Be Discontinued,,39822-0355-6,03/26/2026,03/26/2026,New,openfda_drug_shortages
Omeprazole Delayed Release Capsule,Sandoz Inc.,Gastroenterology,,To Be Discontinued,,0781-2859-10,10/09/2025,10/09/2025,New,openfda_drug_shortages
Adalimumab-ryvk Kit,"Teva Pharmaceuticals USA, Inc.",Rheumatology,,To Be Discontinued,,51759-523-21,11/13/2025,11/13/2025,New,openfda_drug_shortages
Atropine Sulfate Injection,"American Regent, Inc.",Anesthesia; Neurology; Pediatric,Injection,Current,Available,0517-1004-25,01/01/2012,05/01/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Solco Healthcare US, LLC",Psychiatry,Capsule,Current,Limited Availability,43547-602-10,07/14/2023,05/14/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Amneal Pharmaceuticals,Psychiatry,Capsule,Current,Unavailable,65162-028-09,07/14/2023,02/09/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Unavailable,63323-464-31,02/20/2018,05/08/2026,Revised,openfda_drug_shortages
Levothyroxine Sodium Tablet,"EMD Serono, Inc.",Endocrinology/Metabolism,Tablet,To Be Discontinued,,72305-137-30,07/10/2025,07/10/2025,New,openfda_drug_shortages
Quinapril/Hydrochlorothiazide Tablet,Pfizer Inc.,Cardiovascular,Tablet,Current,Unavailable,0071-0220-23,01/19/2023,05/08/2026,Reverified,openfda_drug_shortages
Bumetanide Injection,MSN Laboratories Private Limited,Cardiovascular,Injection,Current,Available,72205-101-01,12/13/2017,04/02/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1159-10,02/20/2018,05/08/2026,Revised,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Alvogen,Psychiatry,Capsule,Current,Available,47781-562-01,07/14/2023,05/19/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Rhodes Pharmaceuticals L.P.,Psychiatry,Capsule,Current,Unavailable,42858-167-01,01/11/2024,05/08/2026,Revised,openfda_drug_shortages
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection","Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Available,63323-461-57,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia; Pediatric,Injection,Current,Available,63323-485-27,02/22/2012,04/23/2026,Reverified,openfda_drug_shortages
Quinapril/Hydrochlorothiazide Tablet,Pfizer Inc.,Cardiovascular,Tablet,Current,Unavailable,0071-0223-23,01/19/2023,05/08/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1163-01,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection","Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1746-10,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Meperidine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,Current,Unavailable,0409-1362-01,05/30/2025,05/08/2026,Revised,openfda_drug_shortages
"Lisdexamfetamine Dimesylate Tablet, Chewable","Sun Pharmaceutical Industries, Inc.",Psychiatry,"Tablet, Chewable",Current,Available,57664-087-88,07/14/2023,04/17/2026,Revised,openfda_drug_shortages
"Carbamazepine Capsule, Extended Release",Takeda Pharmaceuticals USA Inc.,Neurology,"Capsule, Extended Release",To Be Discontinued,,54092-173-12,12/19/2025,12/19/2025,New,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia; Pediatric,Injection,Current,Available,0409-2066-05,02/22/2012,05/08/2026,Reverified,openfda_drug_shortages
Rocuronium Bromide Injection,"Mylan Institutional, a Viatris Company",Anesthesia,Injection,Current,Available,67457-228-05,02/15/2023,05/19/2026,Reverified,openfda_drug_shortages
Clindamycin Phosphate Injection,Pfizer Inc.,Anti-Infective,Injection,Current,Unavailable,0009-3051-02,03/21/2023,05/08/2026,Reverified,openfda_drug_shortages
Clonazepam Tablet,Rubicon Research Private Limited,Neurology; Pediatric; Psychiatry,Tablet,Current,Available,72888-152-01,03/10/2023,01/05/2026,Reverified,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Teva Pharmaceuticals USA, Inc.",Psychiatry,Tablet,Current,Available,57844-115-01,10/12/2022,05/18/2026,Revised,openfda_drug_shortages
