outpatient_category,year,payer_type,doi_region,total_spend,member_months,pppy,source_id
Surgery,2020,Medicaid,Greeley,19772671.3988916,940316,252.33225510009316,civhc_coc_fy23_outpatient
Surgery,2020,Medicaid,Pueblo,17668413.7839937,807550,262.5484061766137,civhc_coc_fy23_outpatient
Surgery,2020,Medicaid,West,35083590.5736113,1031869,408.0005183636058,civhc_coc_fy23_outpatient
Surgery,2020,Medicare,All,403966646.93,6320599,766.9525883796773,civhc_coc_fy23_outpatient
Surgery,2020,Medicare,Boulder,21238604.26,339690,750.2818779475405,civhc_coc_fy23_outpatient
Surgery,2020,Medicare,Colorado Springs,48611264.46,862096,676.6475816150405,civhc_coc_fy23_outpatient
Surgery,2020,Medicare,Denver,142668993.39,2417454,708.1946215646709,civhc_coc_fy23_outpatient
Surgery,2020,Medicare,East,41747383.6,584738,856.740289155143,civhc_coc_fy23_outpatient
Surgery,2020,Medicare,Ft. Collins,24801472.68,449747,661.7446523489873,civhc_coc_fy23_outpatient
Surgery,2020,Medicare,Grand Junction,18013981.2,272285,793.9026182125347,civhc_coc_fy23_outpatient
Surgery,2020,Medicare,Greeley,23116790.7,345552,802.7778406723156,civhc_coc_fy23_outpatient
Surgery,2020,Medicare,Pueblo,12719885.76,238261,640.6362313597274,civhc_coc_fy23_outpatient
Surgery,2020,Medicare,West,66640959.77,811049,985.9965516756695,civhc_coc_fy23_outpatient
Surgery,2020,Medicare Advantage,All,291777689.047992,4580803,764.3490166627781,civhc_coc_fy23_outpatient
Surgery,2020,Medicare Advantage,Boulder,16930597.842689,258871,784.8201386492424,civhc_coc_fy23_outpatient
Surgery,2020,Medicare Advantage,Colorado Springs,29659731.4650577,539618,659.5717295951811,civhc_coc_fy23_outpatient
Surgery,2020,Medicare Advantage,Denver,164706112.990607,2609667,757.366114484064,civhc_coc_fy23_outpatient
Surgery,2020,Medicare Advantage,East,10569498.9232488,175839,721.307486274294,civhc_coc_fy23_outpatient
Surgery,2020,Medicare Advantage,Ft. Collins,21050534.1194082,298916,845.0749020892104,civhc_coc_fy23_outpatient
Surgery,2020,Medicare Advantage,Grand Junction,6620929.21944445,88538,897.3678040314148,civhc_coc_fy23_outpatient
Surgery,2020,Medicare Advantage,Greeley,19503906.186565,263494,888.2436573082499,civhc_coc_fy23_outpatient
Surgery,2020,Medicare Advantage,Pueblo,12658335.6696628,217250,699.1946054589348,civhc_coc_fy23_outpatient
Surgery,2020,Medicare Advantage,West,9015554.24151607,129725,833.9691724663161,civhc_coc_fy23_outpatient
Surgery,2021,All,All,2294535930.17937,43503955,632.9178844119447,civhc_coc_fy23_outpatient
Surgery,2021,All,Boulder,114829472.433834,2256119,610.7628494800176,civhc_coc_fy23_outpatient
Surgery,2021,All,Colorado Springs,252705888.104422,5352931,566.5065843839691,civhc_coc_fy23_outpatient
Surgery,2021,All,Denver,976308620.555306,21957090,533.572684115412,civhc_coc_fy23_outpatient
Surgery,2021,All,East,163072068.441164,2448384,799.2475123567087,civhc_coc_fy23_outpatient
Surgery,2021,All,Ft. Collins,146304653.75456,2669976,657.5549162444606,civhc_coc_fy23_outpatient
Surgery,2021,All,Grand Junction,82722086.2156712,1291541,768.589641821711,civhc_coc_fy23_outpatient
Surgery,2021,All,Greeley,147267804.365646,2692858,656.2595028730634,civhc_coc_fy23_outpatient
Surgery,2021,All,Pueblo,82128480.455633,1617770,609.1977014455676,civhc_coc_fy23_outpatient
Surgery,2021,All,West,300704772.928453,3369503,1070.916771743915,civhc_coc_fy23_outpatient
Surgery,2021,CHP+,All,11588069.2975159,706023,196.95793418938308,civhc_coc_fy23_outpatient
Surgery,2021,CHP+,Boulder,511017.95,24231,253.07314597003838,civhc_coc_fy23_outpatient
Surgery,2021,CHP+,Colorado Springs,1129105.79,76641,176.78878772458606,civhc_coc_fy23_outpatient
Surgery,2021,CHP+,Denver,5746588.73236017,332675,207.286585371074,civhc_coc_fy23_outpatient
Surgery,2021,CHP+,East,713422.566605574,48299,177.25151243849535,civhc_coc_fy23_outpatient
Surgery,2021,CHP+,Ft. Collins,434589.39,36885,141.38735746238308,civhc_coc_fy23_outpatient
Surgery,2021,CHP+,Grand Junction,224316.03,25477,105.65578207795267,civhc_coc_fy23_outpatient
Surgery,2021,CHP+,Greeley,945615.34,62097,182.73642977921637,civhc_coc_fy23_outpatient
Surgery,2021,CHP+,Pueblo,245850.368550226,18312,161.1077120250498,civhc_coc_fy23_outpatient
Surgery,2021,CHP+,West,1600543.33,83209,230.82262687930393,civhc_coc_fy23_outpatient
Surgery,2021,Commercial,All,1019081192.11,16332878,748.7335854293408,civhc_coc_fy23_outpatient
Surgery,2021,Commercial,Boulder,51671844.54,1062399,583.6433717275712,civhc_coc_fy23_outpatient
Surgery,2021,Commercial,Colorado Springs,96941729.45,1594831,729.4194515907956,civhc_coc_fy23_outpatient
Surgery,2021,Commercial,Denver,436897602.59,9091050,576.6958966324022,civhc_coc_fy23_outpatient
